Gene	Group	BS_P1	BS_3B	BS_4B	BS_5B	BS_6B	M_P1	M_3PM	M_4PM	M_5PM	M_1M	M_2M
Zm00001d027337	M4	0.957711721	1.90323156	-0.06730664	0.790015534	0.202074599	0.019560924	-0.137271968	-0.376806464	-1.901778472	-0.849278259	-0.540152537
Zm00001d027339	M1	-1.361201969	0.275214281	0.684302291	1.730919783	0.288894962	-1.182696096	0.451655719	0.313127121	-1.647978654	0.281683715	0.166078847
Zm00001d027340	M6	-1.115019834	1.292748366	0.880173499	0.963664357	0.60115318	-1.43568644	1.155884581	-0.819123194	-0.809818818	-0.501691362	-0.212284335
Zm00001d027342	M1	1.837519258	-0.95292878	-0.930839878	-0.859588602	-0.855597827	1.718339316	-0.525753305	0.140837121	0.333092437	0.13007216	-0.035151899
Zm00001d027344	M13	-1.182323734	-0.293457022	-0.709193396	-0.667425191	-0.562864387	-1.134254694	-0.101295227	0.701898581	1.6515398	0.931019011	1.366356258
Zm00001d027345	M12	1.095945989	0.865623245	0.342300405	0.748820217	0.761120846	1.139483482	-1.365212443	-1.074327337	-0.56521203	-0.61502727	-1.333515103
Zm00001d027346	M6	-0.220967089	-0.94920316	-1.308436995	-1.252984986	-0.989061429	0.305032924	0.309065874	1.173836319	0.997140867	0.545896216	1.38968146
Zm00001d027347	M6	-0.2326241	1.350375109	0.767173363	1.238378739	1.328110854	-0.558697202	-0.033325566	-1.107483635	-1.0670696	-0.579162822	-1.10567514
Zm00001d027354	M6	-1.014032797	1.078160377	1.515690977	1.14465954	1.164249458	-0.825265903	-0.859755942	-0.93179723	-0.422808468	-0.328311489	-0.520788522
Zm00001d027355	M8	-0.903336918	0.048778801	-0.757760647	-0.666492331	-0.634473733	-0.929926066	1.147991372	-0.43482771	0.054459117	0.964939731	2.110648384
Zm00001d027359	M1	-1.027014523	0.428581965	1.593716792	0.384963612	0.205904833	-1.94819491	-0.6530632	1.089481269	0.433616234	0.136552473	-0.644544545
Zm00001d027362	M2	-1.394951003	0.59991942	-0.393532637	0.143368525	0.784509257	-1.985854749	1.053208871	1.204890775	0.393272628	-0.487102995	0.082271906
Zm00001d027363	M12	-0.382885749	-1.158857971	-0.964454835	-0.848296241	-0.855386192	-0.100285132	-0.216373471	1.199446245	0.333198728	1.354273266	1.639621351
Zm00001d027366	M12	-0.290923261	-1.120401289	-1.163803726	-0.899840444	-1.09482922	-0.353851169	1.017097353	0.524594594	0.982570706	1.103798471	1.295587985
Zm00001d027367	M6	0.479004576	-1.160886595	-0.8701793	-0.886565529	-0.941439911	0.773441113	-1.094903079	1.497280293	0.265969861	1.020633513	0.917645058
Zm00001d027368	M16	-0.637105228	1.601707956	-0.541389899	1.006407017	-0.950675896	1.217852327	-0.942147484	-0.919137966	0.95247595	-0.833079368	0.045092591
Zm00001d027369	M14	-1.103427	-1.330793897	0.043365789	0.485083981	-0.525296807	-1.342401983	-0.229317404	1.016018969	0.366622788	1.161084688	1.459060877
Zm00001d027370	M1	0.029484168	-0.526495269	-0.570859835	-0.528061356	-0.243374794	2.897049194	-0.737147659	-0.076335592	-0.141105023	-0.264454307	0.161300472
Zm00001d027371	M6	-0.58486888	0.463028023	1.506678612	0.973420869	0.218195271	-1.312084856	-1.957328531	0.235549051	0.668841425	0.118349511	-0.329780495
Zm00001d027373	M1	2.04016571	-0.982633206	0.688373519	0.521570286	-0.104604447	0.421831899	-0.809879545	-0.757469339	-0.853500779	0.909492542	-1.073346641
Zm00001d027375	M1	1.931352771	-0.296679806	-0.710391887	-0.744501931	-0.652166477	1.971527536	-0.069541346	0.016491589	-0.750038402	-0.367597269	-0.328454778
Zm00001d027383	M6	-1.149990565	0.815490809	1.426648062	0.645981441	1.529222291	-1.128121787	-1.039999843	0.155622503	-0.857253225	-0.319124948	-0.078474738
Zm00001d027385	M1	2.13629233	-1.180847819	-0.055219601	0.670235181	-0.730981369	0.267076336	0.150094017	-0.633578731	0.323378988	0.528653125	-1.475102457
Zm00001d027387	M1	1.846805499	-0.286291655	-0.611714149	-0.766252225	-0.689968037	2.107672694	-0.36336941	-0.25850681	-0.596523364	-0.185408899	-0.196443645
Zm00001d027389	M6	-0.820101825	-0.84302056	-0.37035621	-0.479782177	-0.316722877	1.969330254	-0.816023386	0.274632731	-0.906863449	1.010276579	1.298630917
Zm00001d027392	M6	-1.230110612	0.32919177	1.188702958	1.249027106	1.25373285	-1.153104568	-0.596188077	0.148024021	0.625074411	-0.695185581	-1.119164277
