Gene	Group	BS_P1	BS_3B	BS_4B	BS_5B	BS_6B	M_P1	M_3PM	M_4PM	M_5PM	M_1M	M_2M
Zm00001d040392	M6	6.24238099	11.07080637	10.71644054	10.94255794	10.86342703	4.921875249	5.322844948	6.037193945	7.004187924	6.163894769	6.070363358
Zm00001d040393	M8	4.479591605	6.258627422	5.617369192	4.885740402	5.361825506	4.695640303	8.177585117	6.771024103	6.26729079	6.334071842	5.046664329
Zm00001d040399	M6	23.40240172	17.65865849	14.96928209	14.49734239	14.7716678	23.69427112	19.61502003	21.58063905	21.87061775	30.03822148	32.53958656
Zm00001d040408	M6	9.249240549	8.014839396	8.300021625	7.283623329	6.664899215	9.75509774	8.559657338	9.514712051	9.501850002	9.509857525	9.582556011
Zm00001d040409	M8	47.72357364	44.45590398	49.02378334	47.5819561	47.13811479	43.96618245	35.72151739	45.53103113	49.47453657	54.11569943	46.21706806
Zm00001d040411	M1	8.64818729	17.02279517	16.17210009	15.93709771	16.51049999	11.22629075	13.790272	13.58931681	18.54782565	15.00518583	15.46423868
Zm00001d040416	M6	67.41679261	116.7711699	112.4423515	109.2205188	100.3132523	60.46820574	67.10575686	75.37286356	90.14837361	92.35160198	92.90909858
Zm00001d040422	M8	5.28118026	9.222077061	7.616212795	7.231343403	7.755013036	6.659630396	11.57548931	7.403851302	8.594489808	10.33544991	10.38574925
Zm00001d040429	M2	154.0259599	128.7173543	79.01458574	84.33371404	84.59309226	129.6624756	92.50473207	67.86568595	79.66516132	83.72939724	64.21559685
Zm00001d040435	M2	102.8348024	92.86821986	72.99069553	81.63097644	89.49704796	105.2146881	85.82781224	76.55967065	81.09796246	76.02692241	86.03561489
Zm00001d040438	M6	6.302360979	15.23310361	17.64701526	16.41385544	16.57500407	7.856824112	9.513139226	12.55470441	13.61386542	11.72637137	11.45661495
Zm00001d040442	M12	4.570422368	5.16381082	4.798968732	4.54722706	5.258109424	4.511040631	2.938391642	2.872445217	3.751862048	2.317546011	2.194138247
Zm00001d040446	M14	48.79936128	72.99999815	68.6122596	66.19064139	56.33900746	38.13390662	47.45494324	69.91393566	71.31898646	73.12345348	73.55669406
Zm00001d040448	M6	6.567380672	13.72006004	12.5484661	12.72250571	11.63907775	7.438794027	8.470710618	11.07269933	10.79688512	9.024349155	7.837255176
Zm00001d040449	M1	9.68389817	4.106873995	3.745841283	2.378340552	2.444472818	8.534981999	4.350958307	4.167402137	1.748318106	3.770749341	2.75922893
Zm00001d040457	M1	2.688435583	10.48087237	12.156307	9.32798582	13.12345174	0.693557997	6.522728282	5.682450653	8.921791011	8.222445656	5.837899893
Zm00001d040459	M6	20.04917803	26.45541334	25.68906327	27.14181177	28.74253337	19.68023211	22.72920759	23.52212332	26.25216367	22.42649484	23.94614792
Zm00001d040462	M6	17.45082177	43.91200801	39.41251162	39.40344767	37.86554912	17.52075122	21.41214734	26.58026803	25.44735039	26.20777218	23.8796212
Zm00001d040463	M2	3.654268641	5.268514861	6.422672299	7.509307171	7.307358885	3.683057833	6.814328526	4.862722002	5.785349927	6.11713509	10.06596543
Zm00001d040466	M9	3.332207702	4.939384591	4.15734198	2.740850195	11.79815154	19.18033751	3.358574016	17.63964983	21.3603512	5.682971325	12.63666555
Zm00001d040467	M12	19.4496808	9.111506766	23.2633499	23.78418437	17.69673857	25.80768476	23.35162896	64.827932	46.56268059	65.8340668	43.66721672
Zm00001d040470	M14	18.6772247	15.36028728	11.57196385	11.92751142	14.24674309	19.42889949	15.83128624	9.966178088	10.74350397	11.75529322	10.20630672
Zm00001d040475	M6	10.12231777	19.33340522	20.57939309	17.23019668	17.36948834	8.300313908	8.684948861	8.390055936	9.772820189	10.47494304	9.649253406
Zm00001d040477	M1	4.474002474	3.762478289	3.404678858	3.181191927	4.509553159	7.62288107	5.186894036	2.721196124	3.050978741	4.356481509	3.839143802
Zm00001d040496	M6	8.062477475	6.519785793	6.292891549	6.645535077	6.725160234	8.982665439	8.626682876	7.764172894	8.205904687	8.802167372	8.340984332
Zm00001d040503	M14	12.9120684	15.32576474	19.34965486	15.47811149	16.83328481	14.29627085	13.21655235	19.07625435	18.97422329	16.54962609	15.65912255
Zm00001d040508	M9	355.6216425	398.7615358	413.0663556	415.5665159	389.2200736	343.3895656	408.3491206	373.0055872	348.2471515	384.1821433	407.5983951
Zm00001d040509	M6	16.94874811	59.2562573	52.72946242	52.88926662	50.89534834	15.58340865	12.24987562	15.71207175	18.61064313	22.70016593	15.5108351
Zm00001d040515	M6	107.8255594	120.3428408	125.2515905	120.8559099	118.9144575	116.2120894	109.016604	118.8654744	121.9794117	114.4692177	117.1241136
