Gene	mGM	3C	4BS+V 	5BS+V	6BS+V	PM	3PM	4PM	5/6PM	1M	2M
Zm00001d023652	17.60670115	22.35399496	24.14264265	25.26999944	23.82379914	13.79092489	18.21473186	21.68311401	15.5790095	17.79789778	19.14266177
Zm00001d023654	3.079719995	0.873882653	0.722712691	0.639958881	0.910601888	2.529493319	2.40555475	0.647205529	1.244277978	0.867269736	1.933887139
Zm00001d023655	6.372356717	9.891414349	11.06537632	9.854818771	10.18168994	6.892604291	7.142704659	8.946060672	9.517989191	11.23044511	9.784009194
Zm00001d023658	2.591095157	4.64230938	3.557020276	3.634232187	4.001370104	2.058488629	4.008752482	2.753387763	2.658005861	2.502314404	2.5235318
Zm00001d023659	96.74113737	57.51231999	35.43333836	36.65360864	45.03515392	82.62265626	61.84438006	47.47316573	47.85461958	41.06773847	37.94240272
Zm00001d023661	0	0	0	0	0	0	0	0	0	0	0.842905219
Zm00001d023669	1.38783585	0.341001568	0.096200632	0.172799084	0.202854563	2.949714709	0.409232278	0.054182021	0.1368129	0.198405855	0.055171912
Zm00001d023671	7.605375384	8.531383265	8.32964896	5.748778962	7.206267163	8.848578795	6.138438851	6.12008463	6.393761762	6.51127985	8.050959291
Zm00001d023673	0.510072453	0.42261939	0.616954847	0.142521406	0.391293638	1.919053056	2.080070458	3.103357582	3.021464582	1.568312759	1.54265064
Zm00001d023680	0.558821227	0.881019329	0.358038004	0.750117175	0.727402514	0.785049183	3.007397785	0.867174065	0.886948734	2.278564947	3.811563856
Zm00001d023682	8.075156766	3.445913928	4.268047544	3.677019648	4.378783665	8.043192619	5.770826688	4.243383741	3.701902086	4.408216276	3.762580363
Zm00001d023687	2.168548562	1.109775802	0.240970732	0.343213067	0.685917721	0.966936567	0.888754109	0.658907255	1.114945044	0.966088841	0.561278263
Zm00001d023689	16.77568618	14.31136657	12.71118895	9.967472532	11.43261718	18.34636439	14.70649743	14.66514287	11.9013082	12.35351453	13.74373601
Zm00001d023692	165.7616389	120.3339844	118.3711478	115.1346446	101.0441448	149.1068575	113.5429904	85.46592815	87.23942343	109.9115895	92.11220779
Zm00001d023693	0	0.427654251	1.423463448	0.107487694	0.140957081	0	0.280485915	0.217616977	0.085084498	0.381212977	0.257749612
Zm00001d023694	6.28779103	12.83335065	10.75947493	11.88388098	13.99285454	5.793038493	23.48211634	16.07892507	19.06810354	15.49972399	16.08356842
Zm00001d023695	46.65962756	31.56329282	36.06508554	34.15491971	30.4629869	46.50326019	36.40084946	40.9153773	41.80694853	37.91132751	35.4688579
Zm00001d023698	13.15066039	20.24481178	28.09029878	28.7080607	24.54783314	16.04795838	18.96111366	25.78995463	26.74143016	32.51072205	29.3014409
Zm00001d023699	4.558221793	1.443891953	3.424780423	2.875986121	3.508189864	7.683284943	11.97950495	9.115366287	10.1351472	9.563003409	9.768168361
Zm00001d023700	0	0.146651928	0.092065282	0	0	0	1.422186917	0	0.08469819	0	0
Zm00001d023706	24.57955068	20.18561637	14.37171925	15.00129934	14.14157969	20.37873729	17.40102533	12.01377749	9.594442751	11.63311742	9.914382121
Zm00001d023707	35.90596238	8.091413699	9.706658513	10.1948198	12.20267112	41.14514357	33.23305939	33.78766705	36.06661446	36.88294766	43.09588625
Zm00001d023710	1.211772587	3.302325106	3.175799424	3.408936037	2.967628942	1.058526636	1.07250149	1.433351231	1.405341771	1.770523444	1.306024264
Zm00001d023713	5.270009079	0.671914769	0	1.284478929	0.655628649	10.91532671	8.877437215	3.830724154	4.40008707	6.616674957	8.934001277
Zm00001d023715	3.122547754	2.96905466	3.637786229	3.111032307	2.731134233	2.929465417	3.412650547	2.609133604	2.347686309	2.586369964	2.416144167
Zm00001d023721	4.748446216	6.822411329	7.73690309	6.621263904	6.10145906	6.299035587	4.564719574	5.318173863	7.071315641	4.033139348	5.946466322
Zm00001d023724	43.7708278	21.41124345	19.89703271	19.84484567	13.26442227	42.00659726	16.91706571	21.69644818	16.32479212	17.88436067	19.29874255
