elements	sets
Zm00001d000506	3BS-3PM
Zm00001d029087	3BS-3PM
Zm00001d034283	3BS-3PM
Zm00001d017622	3BS-3PM
Zm00001d051908	3BS-3PM
Zm00001d026642	3BS-3PM
Zm00001d030888	3BS-3PM
Zm00001d034002	3BS-3PM
Zm00001d006923	3BS-3PM
Zm00001d022204	3BS-3PM
Zm00001d043730	3BS-3PM
Zm00001d006796	3BS-3PM
Zm00001d017236	3BS-3PM
Zm00001d037094	3BS-3PM
Zm00001d042178	3BS-3PM
Zm00001d001857	3BS-3PM
Zm00001d036452	3BS-3PM
Zm00001d026599	3BS-3PM
Zm00001d003181	3BS-3PM
Zm00001d018489	3BS-3PM
Zm00001d017526	3BS-3PM
Zm00001d046786	3BS-3PM
Zm00001d002360	3BS-3PM
Zm00001d022518	3BS-3PM
Zm00001d033159	3BS-3PM
Zm00001d002000	3BS-3PM
Zm00001d022415	3BS-3PM
Zm00001d003429	3BS-3PM
Zm00001d021836	3BS-3PM
Zm00001d019280	3BS-3PM
Zm00001d003939	3BS-3PM
Zm00001d027832	3BS-3PM
Zm00001d007581	3BS-3PM
Zm00001d049543	3BS-3PM
Zm00001d043588	3BS-3PM
Zm00001d043709	3BS-3PM
Zm00001d001075	3BS-3PM
Zm00001d021763	3BS-3PM
Zm00001d028180	3BS-3PM
Zm00001d051018	3BS-3PM
Zm00001d033624	3BS-3PM
Zm00001d043302	3BS-3PM
Zm00001d008681	3BS-3PM
Zm00001d010426	3BS-3PM
Zm00001d039566	3BS-3PM
Zm00001d026690	3BS-3PM
Zm00001d018225	3BS-3PM
Zm00001d023216	3BS-3PM
Zm00001d031325	3BS-3PM
Zm00001d022005	3BS-3PM
Zm00001d013956	3BS-3PM
Zm00001d017033	3BS-3PM
Zm00001d039715	3BS-3PM
Zm00001d019563	3BS-3PM
Zm00001d029853	3BS-3PM
Zm00001d004843	3BS-3PM
Zm00001d048998	3BS-3PM
Zm00001d040666	3BS-3PM
Zm00001d003247	3BS-3PM
Zm00001d031129	3BS-3PM
Zm00001d053838	3BS-3PM
Zm00001d031727	3BS-3PM
Zm00001d041539	3BS-3PM
Zm00001d023343	3BS-3PM
Zm00001d024546	3BS-3PM
Zm00001d016237	3BS-3PM
Zm00001d012981	3BS-3PM
Zm00001d003379	3BS-3PM
Zm00001d011799	3BS-3PM
Zm00001d015638	3BS-3PM
Zm00001d032719	3BS-3PM
Zm00001d027740	3BS-3PM
Zm00001d045321	3BS-3PM
Zm00001d025381	3BS-3PM
Zm00001d002052	3BS-3PM
Zm00001d042697	3BS-3PM
Zm00001d038984	3BS-3PM
Zm00001d027904	3BS-3PM
Zm00001d042922	3BS-3PM
Zm00001d035001	3BS-3PM
Zm00001d018322	3BS-3PM
Zm00001d042005	3BS-3PM
Zm00001d032423	3BS-3PM
Zm00001d052133	3BS-3PM
Zm00001d013146	3BS-3PM
Zm00001d043049	3BS-3PM
Zm00001d004817	3BS-3PM
Zm00001d035002	3BS-3PM
Zm00001d016134	3BS-3PM
Zm00001d041246	3BS-3PM
Zm00001d043458	3BS-3PM
