elements	sets
Zm00001d033522	5BS-5PM
Zm00001d049543	5BS-5PM
Zm00001d003181	5BS-5PM
Zm00001d024886	5BS-5PM
Zm00001d045192	5BS-5PM
Zm00001d031957	5BS-5PM
Zm00001d013146	5BS-5PM
Zm00001d020543	5BS-5PM
Zm00001d051161	5BS-5PM
Zm00001d007827	5BS-5PM
Zm00001d035001	5BS-5PM
Zm00001d023984	5BS-5PM
Zm00001d039535	5BS-5PM
Zm00001d040466	5BS-5PM
Zm00001d052595	5BS-5PM
Zm00001d001031	5BS-5PM
Zm00001d031344	5BS-5PM
Zm00001d001076	5BS-5PM
Zm00001d004843	5BS-5PM
Zm00001d040026	5BS-5PM
Zm00001d017111	5BS-5PM
Zm00001d051529	5BS-5PM
Zm00001d037985	5BS-5PM
Zm00001d002193	5BS-5PM
Zm00001d053055	5BS-5PM
Zm00001d026785	5BS-5PM
Zm00001d018090	5BS-5PM
Zm00001d043238	5BS-5PM
Zm00001d048711	5BS-5PM
Zm00001d023344	5BS-5PM
Zm00001d030346	5BS-5PM
Zm00001d023395	5BS-5PM
Zm00001d011123	5BS-5PM
Zm00001d005996	5BS-5PM
Zm00001d042049	5BS-5PM
Zm00001d048053	5BS-5PM
Zm00001d009373	5BS-5PM
Zm00001d030314	5BS-5PM
Zm00001d041246	5BS-5PM
Zm00001d012535	5BS-5PM
Zm00001d008620	5BS-5PM
Zm00001d016237	5BS-5PM
Zm00001d004198	5BS-5PM
Zm00001d003309	5BS-5PM
Zm00001d017526	5BS-5PM
Zm00001d017032	5BS-5PM
Zm00001d052112	5BS-5PM
Zm00001d052242	5BS-5PM
Zm00001d022569	5BS-5PM
Zm00001d053829	5BS-5PM
Zm00001d050824	5BS-5PM
Zm00001d008681	5BS-5PM
Zm00001d048707	5BS-5PM
Zm00001d003502	5BS-5PM
Zm00001d048705	5BS-5PM
Zm00001d028714	5BS-5PM
Zm00001d006010	5BS-5PM
Zm00001d034818	5BS-5PM
Zm00001d053675	5BS-5PM
Zm00001d000506	5BS-5PM
Zm00001d013751	5BS-5PM
Zm00001d003310	5BS-5PM
Zm00001d010426	5BS-5PM
Zm00001d012394	5BS-5PM
Zm00001d029853	5BS-5PM
Zm00001d049294	5BS-5PM
Zm00001d039837	5BS-5PM
Zm00001d004894	5BS-5PM
Zm00001d034543	5BS-5PM
Zm00001d012607	5BS-5PM
Zm00001d037550	5BS-5PM
Zm00001d041804	5BS-5PM
Zm00001d003457	5BS-5PM
Zm00001d018322	5BS-5PM
Zm00001d040509	5BS-5PM
Zm00001d029923	5BS-5PM
Zm00001d007411	5BS-5PM
Zm00001d042922	5BS-5PM
Zm00001d043049	5BS-5PM
Zm00001d001088	5BS-5PM
Zm00001d008216	5BS-5PM
Zm00001d044921	5BS-5PM
Zm00001d011183	5BS-5PM
Zm00001d008929	5BS-5PM
Zm00001d016277	5BS-5PM
Zm00001d024885	5BS-5PM
Zm00001d012981	5BS-5PM
Zm00001d002141	5BS-5PM
Zm00001d033136	5BS-5PM
Zm00001d013612	5BS-5PM
Zm00001d032973	5BS-5PM
Zm00001d024546	5BS-5PM
Zm00001d042104	5BS-5PM
Zm00001d006016	5BS-5PM
Zm00001d001857	5BS-5PM
Zm00001d031696	5BS-5PM
Zm00001d005460	5BS-5PM
Zm00001d020238	5BS-5PM
Zm00001d049443	5BS-5PM
Zm00001d017241	5BS-5PM
Zm00001d043709	5BS-5PM
Zm00001d052133	5BS-5PM
Zm00001d023578	5BS-5PM
Zm00001d027919	5BS-5PM
Zm00001d006923	5BS-5PM
Zm00001d039455	5BS-5PM
Zm00001d028408	5BS-5PM
Zm00001d040519	5BS-5PM
Zm00001d020434	5BS-5PM
Zm00001d010529	5BS-5PM
Zm00001d047687	5BS-5PM
Zm00001d042178	5BS-5PM
Zm00001d047081	5BS-5PM
